Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",31390,"(+/- 2604 )",24663,"(+/- 2329 )",31381,"(+/- 2494 )",29388,"(+/- 2434 )",29082,"(+/- 2754 )",29422,"(+/- 2572 )",22736,"(+/- 2523 )",31003,"(+/- 3551 )",25030,"(+/- 2670 )",31123,"(+/- 3076 )",31029,"(+/- 2814 )",24703,"(+/- 2226 )",30463,"(+/- 2065 )",29199,"(+/- 2676 )",28785,"(+/- 2515 )",30661,"(+/- 2608 )",26845,"(+/- 2470 )",22946,"(+/- 2871 )",27173,"(+/- 2183 )",26831,"(+/- 2060 )",30978,"(+/- 2822 )",25800,"(+/- 2992 )",29347,"(+/- 2681 )",28197,"(+/- 2420 )",27463,"(+/- 2506 )",24475,"(+/- 2295 )",29899,"(+/- 2540 )",30052,"(+/- 2330 )",27508,"(+/- 2825 )",27278,"(+/- 2261 )",25403,"(+/- 2323 )",32796,"(+/- 2652 )",25495,"(+/- 2652 )",25856,"(+/- 2790 )",24873,"(+/- 2373 )",31147,"(+/- 2824 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",13736,"(+/- 1833 )",13125,"(+/- 1969 )",8017,"(+/- 1261 )",14288,"(+/- 1776 )",12465,"(+/- 1563 )",14857,"(+/- 1978 )",11097,"(+/- 1848 )",9596,"(+/- 1535 )",13201,"(+/- 1996 )",10846,"(+/- 1676 )",15528,"(+/- 1524 )",11932,"(+/- 1486 )",14744,"(+/- 1728 )",14191,"(+/- 1821 )",15532,"(+/- 2071 )",12652,"(+/- 1645 )",15182,"(+/- 1971 )",11543,"(+/- 1602 )",13993,"(+/- 1953 )",12183,"(+/- 1496 )",12609,"(+/- 1744 )",11027,"(+/- 1785 )",15904,"(+/- 2191 )",10216,"(+/- 1348 )",11850,"(+/- 1903 )",7897,"(+/- 1099 )",17079,"(+/- 1985 )",16120,"(+/- 1615 )",11883,"(+/- 1593 )",11416,"(+/- 1767 )",8387,"(+/- 1358 )",11928,"(+/- 1549 )",10938,"(+/- 1448 )",15125,"(+/- 1869 )",13129,"(+/- 1628 )",16211,"(+/- 2397 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",16179,"(+/- 2024 )",6606,"(+/- 1110 )",4794,"(+/- 800 )",12885,"(+/- 1732 )",11021,"(+/- 1430 )",10404,"(+/- 1644 )",6029,"(+/- 959 )",6489,"(+/- 1456 )",12600,"(+/- 1752 )",9680,"(+/- 1549 )",17530,"(+/- 1756 )",12165,"(+/- 1421 )",20060,"(+/- 1852 )",16138,"(+/- 1636 )",12704,"(+/- 1643 )",18741,"(+/- 1839 )",10440,"(+/- 1607 )",17428,"(+/- 1748 )",17335,"(+/- 1651 )",18876,"(+/- 1907 )",9127,"(+/- 1338 )",6330,"(+/- 1435 )",16945,"(+/- 1750 )",7879,"(+/- 1261 )",9461,"(+/- 1185 )",3924,"(+/- 862 )",21448,"(+/- 2095 )",11539,"(+/- 1524 )",12563,"(+/- 1588 )",16238,"(+/- 2016 )",7169,"(+/- 1092 )",12073,"(+/- 1596 )",14416,"(+/- 1453 )",17049,"(+/- 1825 )",16894,"(+/- 1978 )",15239,"(+/- 1845 )"
Housing,Value,"Owner-occupied units",170133,"(+/- 4384 )",178898,"(+/- 5646 )",193042,"(+/- 3923 )",187726,"(+/- 4554 )",169837,"(+/- 4382 )",176281,"(+/- 5365 )",147540,"(+/- 5984 )",204071,"(+/- 5712 )",125864,"(+/- 5199 )",195708,"(+/- 5945 )",184316,"(+/- 5292 )",181602,"(+/- 5213 )",175366,"(+/- 3758 )",179629,"(+/- 4619 )",154539,"(+/- 5451 )",145958,"(+/- 4110 )",159821,"(+/- 4513 )",130741,"(+/- 5470 )",157236,"(+/- 3594 )",140498,"(+/- 3906 )",189149,"(+/- 4323 )",210386,"(+/- 6276 )",163466,"(+/- 5064 )",148714,"(+/- 4472 )",189484,"(+/- 5824 )",211575,"(+/- 4336 )",168175,"(+/- 4576 )",150299,"(+/- 3953 )",116403,"(+/- 5047 )",133558,"(+/- 4864 )",181636,"(+/- 4285 )",165379,"(+/- 4653 )",105482,"(+/- 3778 )",140361,"(+/- 4674 )",146050,"(+/- 5548 )",185260,"(+/- 6244 )"
Housing,Value,"Less than $50,000",27925,"(+/- 2505 )",3891,"(+/- 1128 )",3181,"(+/- 771 )",28012,"(+/- 2647 )",21737,"(+/- 2582 )",8868,"(+/- 1603 )",2352,"(+/- 706 )",17069,"(+/- 2391 )",5484,"(+/- 1418 )",8558,"(+/- 1794 )",26119,"(+/- 2434 )",6833,"(+/- 1137 )",29133,"(+/- 2455 )",19261,"(+/- 2132 )",34488,"(+/- 3323 )",6518,"(+/- 1269 )",21143,"(+/- 2279 )",11329,"(+/- 1730 )",31368,"(+/- 2728 )",9504,"(+/- 1567 )",5658,"(+/- 1167 )",5349,"(+/- 1241 )",25463,"(+/- 2615 )",2130,"(+/- 736 )",10097,"(+/- 1369 )",7114,"(+/- 1572 )",19787,"(+/- 2013 )",22905,"(+/- 2251 )",12121,"(+/- 1874 )",9681,"(+/- 1527 )",5987,"(+/- 1024 )",2492,"(+/- 938 )",11324,"(+/- 1716 )",38054,"(+/- 3282 )",12478,"(+/- 1694 )",24962,"(+/- 2826 )"
Housing,Value,"$50,000 to $99,999",34198,"(+/- 2869 )",7674,"(+/- 1474 )",2561,"(+/- 804 )",38204,"(+/- 2438 )",34329,"(+/- 2952 )",15696,"(+/- 1896 )",5636,"(+/- 1324 )",22574,"(+/- 3115 )",29143,"(+/- 2781 )",11902,"(+/- 1957 )",35518,"(+/- 3139 )",22603,"(+/- 2516 )",48317,"(+/- 3434 )",30909,"(+/- 2586 )",40534,"(+/- 3383 )",36953,"(+/- 3125 )",28121,"(+/- 2561 )",28754,"(+/- 2887 )",40745,"(+/- 2614 )",35198,"(+/- 2859 )",9610,"(+/- 1869 )",8318,"(+/- 1726 )",43688,"(+/- 3016 )",4641,"(+/- 928 )",23422,"(+/- 2154 )",6060,"(+/- 1456 )",36767,"(+/- 2878 )",36014,"(+/- 3120 )",38453,"(+/- 2707 )",33568,"(+/- 3071 )",14619,"(+/- 1796 )",8352,"(+/- 1374 )",42241,"(+/- 3107 )",47087,"(+/- 3336 )",30082,"(+/- 3580 )",38636,"(+/- 3264 )"
Housing,Value,"$100,000 to $149,999",33467,"(+/- 3074 )",24416,"(+/- 3133 )",7055,"(+/- 1745 )",28710,"(+/- 2225 )",29010,"(+/- 2608 )",36375,"(+/- 3262 )",18724,"(+/- 2828 )",23021,"(+/- 3067 )",37788,"(+/- 3239 )",20422,"(+/- 2491 )",32232,"(+/- 2554 )",28841,"(+/- 2386 )",33425,"(+/- 2392 )",32866,"(+/- 2966 )",27281,"(+/- 2841 )",47617,"(+/- 2919 )",20103,"(+/- 2011 )",34102,"(+/- 3299 )",30792,"(+/- 2324 )",26474,"(+/- 2424 )",12368,"(+/- 1744 )",18099,"(+/- 2399 )",25774,"(+/- 2639 )",16272,"(+/- 2027 )",23593,"(+/- 2520 )",15154,"(+/- 1864 )",34614,"(+/- 2847 )",32975,"(+/- 2276 )",37025,"(+/- 3082 )",33341,"(+/- 3000 )",22104,"(+/- 2590 )",20525,"(+/- 2189 )",25306,"(+/- 2738 )",23630,"(+/- 2659 )",27437,"(+/- 2594 )",37879,"(+/- 3512 )"
Housing,Value,"$150,000 to $199,999",27864,"(+/- 2833 )",38472,"(+/- 3500 )",11612,"(+/- 1796 )",28291,"(+/- 3019 )",30422,"(+/- 2735 )",42653,"(+/- 3565 )",22533,"(+/- 2876 )",31765,"(+/- 3621 )",28313,"(+/- 2858 )",34858,"(+/- 3202 )",29910,"(+/- 2879 )",36989,"(+/- 2943 )",24798,"(+/- 2278 )",28380,"(+/- 2623 )",21905,"(+/- 2314 )",26441,"(+/- 2334 )",25681,"(+/- 2640 )",18438,"(+/- 2161 )",20755,"(+/- 1954 )",31322,"(+/- 2822 )",23036,"(+/- 2242 )",30396,"(+/- 2793 )",19613,"(+/- 2277 )",20451,"(+/- 2009 )",22209,"(+/- 2492 )",27568,"(+/- 2372 )",32153,"(+/- 2663 )",27195,"(+/- 2734 )",15351,"(+/- 1898 )",29398,"(+/- 2848 )",29333,"(+/- 2760 )",28052,"(+/- 2591 )",14608,"(+/- 1777 )",13647,"(+/- 1829 )",31942,"(+/- 3312 )",30866,"(+/- 3094 )"
Housing,Value,"$200,000 to $299,999",24522,"(+/- 1964 )",45698,"(+/- 3314 )",53449,"(+/- 3005 )",32327,"(+/- 2594 )",26305,"(+/- 2544 )",41436,"(+/- 2584 )",30557,"(+/- 2998 )",48150,"(+/- 4148 )",18994,"(+/- 2458 )",52636,"(+/- 3605 )",33339,"(+/- 2636 )",43888,"(+/- 3262 )",23216,"(+/- 2085 )",38794,"(+/- 3340 )",19015,"(+/- 2534 )",20255,"(+/- 2557 )",36911,"(+/- 2690 )",15053,"(+/- 2067 )",19663,"(+/- 1758 )",26531,"(+/- 2362 )",51379,"(+/- 3370 )",67390,"(+/- 4801 )",20280,"(+/- 2037 )",37156,"(+/- 2669 )",28300,"(+/- 2401 )",64876,"(+/- 4102 )",25982,"(+/- 2259 )",19348,"(+/- 2343 )",8526,"(+/- 1718 )",16380,"(+/- 2185 )",53096,"(+/- 3023 )",41342,"(+/- 3026 )",6909,"(+/- 1301 )",10713,"(+/- 1751 )",32454,"(+/- 3253 )",31591,"(+/- 2793 )"
Housing,Value,"$300,000 to $499,999",14922,"(+/- 1927 )",38532,"(+/- 2585 )",85901,"(+/- 4152 )",24428,"(+/- 2196 )",18808,"(+/- 1712 )",26663,"(+/- 2388 )",26778,"(+/- 2408 )",40398,"(+/- 4405 )",3394,"(+/- 877 )",41817,"(+/- 3111 )",19492,"(+/- 2034 )",31278,"(+/- 2657 )",11748,"(+/- 1381 )",21190,"(+/- 1827 )",8073,"(+/- 1393 )",5929,"(+/- 1271 )",21706,"(+/- 2409 )",15082,"(+/- 1389 )",10760,"(+/- 1279 )",10040,"(+/- 1461 )",55535,"(+/- 3025 )",63056,"(+/- 4732 )",20423,"(+/- 1864 )",43022,"(+/- 2609 )",44394,"(+/- 3053 )",66365,"(+/- 3719 )",14067,"(+/- 1751 )",9018,"(+/- 1554 )",3878,"(+/- 1079 )",7835,"(+/- 1094 )",46246,"(+/- 2726 )",30509,"(+/- 2431 )",3479,"(+/- 846 )",4838,"(+/- 1013 )",8988,"(+/- 1456 )",16595,"(+/- 1952 )"
Housing,Value,"$500,000 to $999,999",5322,"(+/- 1102 )",16391,"(+/- 1912 )",26150,"(+/- 2436 )",6742,"(+/- 1183 )",8187,"(+/- 1314 )",4093,"(+/- 885 )",22518,"(+/- 2015 )",17446,"(+/- 2239 )",2177,"(+/- 922 )",21053,"(+/- 1978 )",6422,"(+/- 998 )",9488,"(+/- 1398 )",3506,"(+/- 760 )",7072,"(+/- 1244 )",2548,"(+/- 727 )",1989,"(+/- 726 )",4992,"(+/- 1097 )",6096,"(+/- 1036 )",2479,"(+/- 705 )",1200,"(+/- 539 )",24983,"(+/- 1915 )",15819,"(+/- 2811 )",6746,"(+/- 1125 )",21414,"(+/- 2069 )",29313,"(+/- 2313 )",22461,"(+/- 1990 )",3733,"(+/- 942 )",2065,"(+/- 785 )",846,"(+/- 422 )",2295,"(+/- 658 )",9509,"(+/- 1227 )",20543,"(+/- 1589 )",694,"(+/- 299 )",1782,"(+/- 717 )",1852,"(+/- 686 )",3806,"(+/- 905 )"
Housing,Value,"$1,000,000 or more",1913,"(+/- 790 )",3824,"(+/- 978 )",3133,"(+/- 685 )",1012,"(+/- 480 )",1039,"(+/- 495 )",497,"(+/- 335 )",18442,"(+/- 1387 )",3648,"(+/- 1179 )",571,"(+/- 348 )",4462,"(+/- 876 )",1284,"(+/- 402 )",1682,"(+/- 399 )",1223,"(+/- 520 )",1157,"(+/- 504 )",695,"(+/- 336 )",256,"(+/- 218 )",1164,"(+/- 631 )",1887,"(+/- 724 )",674,"(+/- 363 )",229,"(+/- 194 )",6580,"(+/- 1343 )",1959,"(+/- 764 )",1479,"(+/- 550 )",3628,"(+/- 840 )",8156,"(+/- 1141 )",1977,"(+/- 610 )",1072,"(+/- 400 )",779,"(+/- 355 )",203,"(+/- 160 )",1060,"(+/- 481 )",742,"(+/- 306 )",13564,"(+/- 1414 )",921,"(+/- 517 )",610,"(+/- 269 )",817,"(+/- 405 )",925,"(+/- 529 )"
Housing,Value,"Median (dollars)",133600,"(+/- 5212 )",227400,"(+/- 5004 )",334400,"(+/- 5524 )",148000,"(+/- 5478 )",149700,"(+/- 4836 )",177900,"(+/- 4174 )",274100,"(+/- 12703 )",214000,"(+/- 7628 )",137400,"(+/- 3622 )",238000,"(+/- 6134 )",146800,"(+/- 5349 )",192800,"(+/- 5177 )",113400,"(+/- 3729 )",160600,"(+/- 4606 )",103700,"(+/- 5696 )",127400,"(+/- 3378 )",168900,"(+/- 5587 )",135600,"(+/- 4386 )",109700,"(+/- 3894 )",147900,"(+/- 6146 )",285600,"(+/- 5647 )",266100,"(+/- 6017 )",117700,"(+/- 4244 )",281700,"(+/- 6489 )",248600,"(+/- 10167 )",276500,"(+/- 5019 )",138800,"(+/- 4813 )",121600,"(+/- 3331 )",108000,"(+/- 2333 )",134500,"(+/- 4262 )",234700,"(+/- 4601 )",245800,"(+/- 6077 )",99000,"(+/- 3435 )",84000,"(+/- 3258 )",154000,"(+/- 4003 )",137000,"(+/- 4615 )"
Housing,"Mortgage Status","Owner-occupied units",170133,"(+/- 4384 )",178898,"(+/- 5646 )",193042,"(+/- 3923 )",187726,"(+/- 4554 )",169837,"(+/- 4382 )",176281,"(+/- 5365 )",147540,"(+/- 5984 )",204071,"(+/- 5712 )",125864,"(+/- 5199 )",195708,"(+/- 5945 )",184316,"(+/- 5292 )",181602,"(+/- 5213 )",175366,"(+/- 3758 )",179629,"(+/- 4619 )",154539,"(+/- 5451 )",145958,"(+/- 4110 )",159821,"(+/- 4513 )",130741,"(+/- 5470 )",157236,"(+/- 3594 )",140498,"(+/- 3906 )",189149,"(+/- 4323 )",210386,"(+/- 6276 )",163466,"(+/- 5064 )",148714,"(+/- 4472 )",189484,"(+/- 5824 )",211575,"(+/- 4336 )",168175,"(+/- 4576 )",150299,"(+/- 3953 )",116403,"(+/- 5047 )",133558,"(+/- 4864 )",181636,"(+/- 4285 )",165379,"(+/- 4653 )",105482,"(+/- 3778 )",140361,"(+/- 4674 )",146050,"(+/- 5548 )",185260,"(+/- 6244 )"
Housing,"Mortgage Status","Housing units with a mortgage",75271,"(+/- 3660 )",115106,"(+/- 4828 )",135117,"(+/- 3956 )",98251,"(+/- 3838 )",93224,"(+/- 3987 )",115932,"(+/- 4871 )",91580,"(+/- 4911 )",122617,"(+/- 5508 )",74219,"(+/- 4770 )",125927,"(+/- 5711 )",85669,"(+/- 4123 )",119283,"(+/- 4971 )",84771,"(+/- 3546 )",91015,"(+/- 4978 )",69500,"(+/- 4686 )",87673,"(+/- 4316 )",86237,"(+/- 4382 )",75386,"(+/- 4196 )",74466,"(+/- 3100 )",85814,"(+/- 3563 )",116829,"(+/- 4035 )",139135,"(+/- 6319 )",80574,"(+/- 4417 )",101235,"(+/- 4194 )",115957,"(+/- 4837 )",158340,"(+/- 4383 )",79217,"(+/- 3632 )",72779,"(+/- 3680 )",59005,"(+/- 3723 )",88671,"(+/- 4175 )",126072,"(+/- 4417 )",109291,"(+/- 4732 )",49728,"(+/- 3043 )",53057,"(+/- 3405 )",90990,"(+/- 4954 )",91342,"(+/- 5258 )"
Housing,"Mortgage Status","Housing units without a mortgage",94862,"(+/- 4265 )",63792,"(+/- 3856 )",57925,"(+/- 3308 )",89475,"(+/- 3924 )",76613,"(+/- 3073 )",60349,"(+/- 3545 )",55960,"(+/- 3382 )",81454,"(+/- 5192 )",51645,"(+/- 3667 )",69781,"(+/- 3725 )",98647,"(+/- 4049 )",62319,"(+/- 3239 )",90595,"(+/- 3449 )",88614,"(+/- 4263 )",85039,"(+/- 4136 )",58285,"(+/- 3441 )",73584,"(+/- 3599 )",55355,"(+/- 4288 )",82770,"(+/- 3690 )",54684,"(+/- 3224 )",72320,"(+/- 3727 )",71251,"(+/- 4532 )",82892,"(+/- 3791 )",47479,"(+/- 2771 )",73527,"(+/- 3726 )",53235,"(+/- 3327 )",88958,"(+/- 3948 )",77520,"(+/- 3543 )",57398,"(+/- 3910 )",44887,"(+/- 3578 )",55564,"(+/- 3085 )",56088,"(+/- 3509 )",55754,"(+/- 3082 )",87304,"(+/- 3597 )",55060,"(+/- 3661 )",93918,"(+/- 4622 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",75271,"(+/- 3660 )",115106,"(+/- 4828 )",135117,"(+/- 3956 )",98251,"(+/- 3838 )",93224,"(+/- 3987 )",115932,"(+/- 4871 )",91580,"(+/- 4911 )",122617,"(+/- 5508 )",74219,"(+/- 4770 )",125927,"(+/- 5711 )",85669,"(+/- 4123 )",119283,"(+/- 4971 )",84771,"(+/- 3546 )",91015,"(+/- 4978 )",69500,"(+/- 4686 )",87673,"(+/- 4316 )",86237,"(+/- 4382 )",75386,"(+/- 4196 )",74466,"(+/- 3100 )",85814,"(+/- 3563 )",116829,"(+/- 4035 )",139135,"(+/- 6319 )",80574,"(+/- 4417 )",101235,"(+/- 4194 )",115957,"(+/- 4837 )",158340,"(+/- 4383 )",79217,"(+/- 3632 )",72779,"(+/- 3680 )",59005,"(+/- 3723 )",88671,"(+/- 4175 )",126072,"(+/- 4417 )",109291,"(+/- 4732 )",49728,"(+/- 3043 )",53057,"(+/- 3405 )",90990,"(+/- 4954 )",91342,"(+/- 5258 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",585,"(+/- 306 )",220,"(+/- 196 )",176,"(+/- 169 )",1728,"(+/- 655 )",931,"(+/- 578 )",283,"(+/- 207 )",137,"(+/- 160 )",543,"(+/- 352 )",527,"(+/- 412 )",569,"(+/- 378 )",1002,"(+/- 431 )",849,"(+/- 445 )",1529,"(+/- 607 )",583,"(+/- 417 )",2396,"(+/- 883 )",1135,"(+/- 481 )",560,"(+/- 273 )",819,"(+/- 506 )",1550,"(+/- 643 )",912,"(+/- 398 )",997,"(+/- 593 )",43,"(+/- 74 )",999,"(+/- 494 )",166,"(+/- 141 )",698,"(+/- 401 )",248,"(+/- 236 )",1244,"(+/- 604 )",754,"(+/- 522 )",529,"(+/- 314 )",438,"(+/- 412 )",563,"(+/- 329 )",90,"(+/- 106 )",467,"(+/- 296 )",1009,"(+/- 541 )",286,"(+/- 195 )",1159,"(+/- 559 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",25064,"(+/- 2444 )",9330,"(+/- 1867 )",5325,"(+/- 1179 )",23729,"(+/- 2222 )",21772,"(+/- 2400 )",14947,"(+/- 1903 )",6461,"(+/- 1391 )",14752,"(+/- 1911 )",17410,"(+/- 2705 )",11568,"(+/- 1980 )",21454,"(+/- 1966 )",16150,"(+/- 1850 )",26354,"(+/- 2381 )",16332,"(+/- 2238 )",21578,"(+/- 2443 )",25648,"(+/- 2538 )",18500,"(+/- 2223 )",13753,"(+/- 1973 )",22737,"(+/- 2004 )",20790,"(+/- 2186 )",8718,"(+/- 1661 )",6589,"(+/- 1753 )",23040,"(+/- 2320 )",6527,"(+/- 1458 )",16067,"(+/- 2230 )",8116,"(+/- 1691 )",16184,"(+/- 2459 )",20339,"(+/- 2421 )",17602,"(+/- 2637 )",19992,"(+/- 2614 )",13759,"(+/- 1756 )",8777,"(+/- 1687 )",16756,"(+/- 2234 )",20032,"(+/- 2421 )",20964,"(+/- 2716 )",20078,"(+/- 2861 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",26708,"(+/- 2551 )",32214,"(+/- 3449 )",20605,"(+/- 2252 )",30973,"(+/- 2728 )",34882,"(+/- 2768 )",40477,"(+/- 3577 )",21625,"(+/- 3189 )",34118,"(+/- 4142 )",31206,"(+/- 3725 )",32355,"(+/- 3422 )",28554,"(+/- 2575 )",38248,"(+/- 2913 )",30138,"(+/- 2887 )",27484,"(+/- 2978 )",23787,"(+/- 2748 )",32790,"(+/- 2922 )",29587,"(+/- 2930 )",30532,"(+/- 2810 )",24974,"(+/- 2358 )",33159,"(+/- 2921 )",28923,"(+/- 2919 )",21575,"(+/- 2913 )",21951,"(+/- 2308 )",22991,"(+/- 2407 )",28550,"(+/- 2894 )",36277,"(+/- 2799 )",30253,"(+/- 2582 )",29137,"(+/- 2649 )",25885,"(+/- 2540 )",38145,"(+/- 3359 )",40062,"(+/- 3177 )",29824,"(+/- 2770 )",21506,"(+/- 2368 )",19346,"(+/- 2296 )",40080,"(+/- 3871 )",32985,"(+/- 3685 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",12480,"(+/- 1821 )",28160,"(+/- 3183 )",34975,"(+/- 2710 )",21592,"(+/- 2496 )",18132,"(+/- 2013 )",35352,"(+/- 2853 )",20872,"(+/- 2953 )",28946,"(+/- 3495 )",15935,"(+/- 2075 )",34369,"(+/- 3424 )",18577,"(+/- 2387 )",32093,"(+/- 3603 )",15552,"(+/- 1698 )",18828,"(+/- 2816 )",12548,"(+/- 1707 )",18011,"(+/- 2829 )",21075,"(+/- 2327 )",13486,"(+/- 2292 )",14172,"(+/- 1765 )",19656,"(+/- 1930 )",29663,"(+/- 2643 )",37693,"(+/- 3869 )",15240,"(+/- 2086 )",24695,"(+/- 2129 )",22805,"(+/- 2348 )",42049,"(+/- 3448 )",17860,"(+/- 2351 )",12780,"(+/- 2037 )",10250,"(+/- 1800 )",17477,"(+/- 2232 )",32909,"(+/- 2852 )",26676,"(+/- 2920 )",7640,"(+/- 1448 )",8638,"(+/- 1757 )",20789,"(+/- 2607 )",20399,"(+/- 1989 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",6544,"(+/- 1527 )",17651,"(+/- 1793 )",29392,"(+/- 2801 )",11109,"(+/- 1493 )",7964,"(+/- 1159 )",12406,"(+/- 1521 )",12246,"(+/- 1676 )",18102,"(+/- 2978 )",6802,"(+/- 1630 )",19501,"(+/- 2431 )",9564,"(+/- 1456 )",15814,"(+/- 2246 )",6654,"(+/- 1466 )",13287,"(+/- 2120 )",5770,"(+/- 1420 )",6397,"(+/- 1688 )",8293,"(+/- 1909 )",6557,"(+/- 1234 )",6244,"(+/- 1119 )",6380,"(+/- 1108 )",18647,"(+/- 2058 )",27617,"(+/- 3000 )",7761,"(+/- 1282 )",15794,"(+/- 2056 )",16187,"(+/- 1852 )",30120,"(+/- 3233 )",7830,"(+/- 1400 )",4940,"(+/- 1017 )",2104,"(+/- 801 )",6997,"(+/- 1330 )",19563,"(+/- 2145 )",12975,"(+/- 1741 )",2091,"(+/- 717 )",2352,"(+/- 802 )",5899,"(+/- 1530 )",8730,"(+/- 1876 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",1101,"(+/- 554 )",11357,"(+/- 1628 )",18550,"(+/- 2347 )",4239,"(+/- 912 )",4377,"(+/- 1162 )",6695,"(+/- 1379 )",6481,"(+/- 1221 )",10316,"(+/- 2369 )",1407,"(+/- 547 )",9403,"(+/- 1756 )",3773,"(+/- 1135 )",8166,"(+/- 1722 )",2135,"(+/- 666 )",7615,"(+/- 1647 )",1535,"(+/- 509 )",1677,"(+/- 641 )",4322,"(+/- 1064 )",3662,"(+/- 862 )",1491,"(+/- 520 )",2614,"(+/- 809 )",12995,"(+/- 1708 )",20844,"(+/- 3060 )",5513,"(+/- 1235 )",11292,"(+/- 1612 )",10478,"(+/- 1515 )",20250,"(+/- 2694 )",2912,"(+/- 924 )",2784,"(+/- 1051 )",1391,"(+/- 651 )",3048,"(+/- 911 )",10607,"(+/- 1320 )",9323,"(+/- 1680 )",536,"(+/- 252 )",886,"(+/- 609 )",2284,"(+/- 755 )",4629,"(+/- 1440 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",2789,"(+/- 1017 )",16174,"(+/- 2052 )",26094,"(+/- 2253 )",4881,"(+/- 1210 )",5166,"(+/- 1036 )",5772,"(+/- 1031 )",23758,"(+/- 2227 )",15840,"(+/- 2083 )",932,"(+/- 483 )",18162,"(+/- 2036 )",2745,"(+/- 753 )",7963,"(+/- 1261 )",2409,"(+/- 625 )",6886,"(+/- 1422 )",1886,"(+/- 707 )",2015,"(+/- 667 )",3900,"(+/- 775 )",6577,"(+/- 1188 )",3298,"(+/- 666 )",2303,"(+/- 887 )",16886,"(+/- 2001 )",24774,"(+/- 3623 )",6070,"(+/- 1267 )",19770,"(+/- 1735 )",21172,"(+/- 2175 )",21280,"(+/- 2122 )",2934,"(+/- 989 )",2045,"(+/- 756 )",1244,"(+/- 708 )",2574,"(+/- 776 )",8609,"(+/- 1729 )",21626,"(+/- 1815 )",732,"(+/- 392 )",794,"(+/- 380 )",688,"(+/- 394 )",3362,"(+/- 852 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1190,"(+/- 31 )",1742,"(+/- 48 )",2110,"(+/- 44 )",1380,"(+/- 35 )",1336,"(+/- 32 )",1526,"(+/- 29 )",1915,"(+/- 57 )",1698,"(+/- 65 )",1322,"(+/- 34 )",1749,"(+/- 50 )",1362,"(+/- 34 )",1554,"(+/- 32 )",1200,"(+/- 27 )",1526,"(+/- 62 )",1219,"(+/- 42 )",1216,"(+/- 31 )",1405,"(+/- 36 )",1371,"(+/- 44 )",1225,"(+/- 32 )",1312,"(+/- 35 )",1821,"(+/- 46 )",2066,"(+/- 68 )",1342,"(+/- 51 )",1910,"(+/- 54 )",1753,"(+/- 59 )",1905,"(+/- 40 )",1373,"(+/- 40 )",1248,"(+/- 37 )",1179,"(+/- 33 )",1307,"(+/- 40 )",1621,"(+/- 34 )",1775,"(+/- 53 )",1135,"(+/- 27 )",1108,"(+/- 34 )",1280,"(+/- 35 )",1368,"(+/- 36 )"
